data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	
D00035	1.0	0.55346	0.58902	0.5216	0.61731	0.63681	0.52237	0.667	0.55369	0.74483	0.55424	0.63829	0.6769	0.7419	0.60086	0.56906	0.6662	0.60086	0.62231	0.94511	0.54265	0.52887	0.60788	0.66781	0.58777	0.55805	0.49096	0.72616	0.77701	0.58715	0.66781	0.6561	0.65037	0.70303	0.91623	0.68999	0.73088	0.54391	0.51027	0.64199	0.67607	0.67773	0.77806	0.729	0.67607	0.8849	0.72805	0.88881	0.67939	0.72711	0.65845	0.52556	0.77595	0.7419	0.61457	0.70303	0.76083	0.51676	0.81454	0.97719	
D00110	0.55032	1.0	0.89942	0.8822	0.84679	0.80526	0.88588	0.76482	0.97646	0.68943	0.97646	0.80745	0.75591	0.68614	0.87173	0.93821	0.76811	0.87666	0.83294	0.56648	0.93941	0.9083	0.86282	0.76811	0.89723	0.96535	0.79969	0.6967	0.66174	0.89997	0.76647	0.77921	0.79087	0.72932	0.57923	0.74206	0.69725	0.95409	0.85904	0.80854	0.7581	0.75207	0.66393	0.70327	0.75098	0.59417	0.70163	0.59581	0.75372	0.70054	0.77921	0.90121	0.6601	0.68669	0.8435	0.73151	0.67832	0.87088	0.63461	0.55374	
D00136	0.58602	0.90003	1.0	0.81	0.91779	0.8762	0.82141	0.82776	0.90496	0.74084	0.90167	0.87869	0.81576	0.7396	0.95236	0.93692	0.83212	0.9505	0.90206	0.603	0.86886	0.83957	0.93476	0.82963	0.97511	0.91145	0.74352	0.75408	0.71311	0.97698	0.83896	0.84287	0.85798	0.79052	0.61686	0.80501	0.75097	0.87692	0.7955	0.87433	0.81514	0.81763	0.71125	0.75782	0.81638	0.63322	0.75346	0.63508	0.82012	0.75657	0.84474	0.83081	0.70627	0.73898	0.92028	0.78555	0.72636	0.80309	0.67854	0.58727	
D00195	0.51808	0.88143	0.80872	1.0	0.76318	0.72845	0.9646	0.69697	0.87539	0.62705	0.87539	0.72938	0.6857	0.62751	0.78618	0.84252	0.69511	0.78572	0.75052	0.52703	0.90966	0.94161	0.77445	0.69419	0.80779	0.86505	0.88296	0.63878	0.60637	0.80872	0.69604	0.70777	0.71858	0.66224	0.53691	0.67304	0.64063	0.89746	0.95503	0.72938	0.68524	0.68431	0.60544	0.63971	0.68338	0.54864	0.64017	0.54864	0.68385	0.64063	0.70453	0.9538	0.6059	0.62844	0.76226	0.66131	0.61671	0.96345	0.58105	0.5153	
D00219	0.61452	0.8478	0.91825	0.76481	1.0	0.92687	0.77402	0.88112	0.84397	0.7814	0.84944	0.9255	0.86655	0.78619	0.94642	0.87903	0.87975	0.94903	0.96353	0.63388	0.83147	0.75899	0.96254	0.8818	0.91825	0.85816	0.70329	0.79665	0.7468	0.91763	0.87633	0.89637	0.91641	0.83263	0.64845	0.84309	0.80145	0.82775	0.75179	0.92756	0.86245	0.86382	0.75022	0.79597	0.86176	0.66712	0.80145	0.66575	0.86313	0.79529	0.89774	0.78595	0.74611	0.78346	0.97673	0.83332	0.76615	0.76048	0.71356	0.61589	
D00225	0.63421	0.80657	0.877	0.73034	0.92725	1.0	0.74037	0.92686	0.81205	0.82054	0.81041	0.9815	0.90816	0.8198	0.90126	0.83983	0.92538	0.90191	0.9423	0.65366	0.78276	0.7571	0.91427	0.9239	0.87514	0.81832	0.675	0.83999	0.78461	0.87762	0.92908	0.94335	0.95836	0.87148	0.6731	0.89315	0.83333	0.78917	0.7198	0.9778	0.91037	0.90816	0.78313	0.83777	0.90963	0.69107	0.83333	0.69255	0.90963	0.83851	0.94039	0.74691	0.77869	0.82128	0.92999	0.8737	0.80109	0.72521	0.74645	0.63569	
D00227	0.51888	0.88518	0.82018	0.96469	0.77245	0.73854	1.0	0.70321	0.88659	0.63727	0.88707	0.73806	0.69363	0.6368	0.79679	0.85315	0.7051	0.79632	0.76288	0.53128	0.91815	0.95112	0.78438	0.70604	0.82066	0.87655	0.8742	0.6492	0.61246	0.8183	0.70462	0.71467	0.72613	0.67165	0.54416	0.6817	0.64637	0.90905	0.94556	0.74042	0.69411	0.69505	0.61435	0.64732	0.69316	0.55515	0.64779	0.55562	0.69316	0.64873	0.71656	0.9673	0.61246	0.63821	0.77434	0.67165	0.62439	0.95246	0.59048	0.52076	
D00228	0.66462	0.76644	0.82891	0.69912	0.88188	0.92727	0.7053	1.0	0.77137	0.86256	0.77028	0.92431	0.96112	0.86256	0.85088	0.79481	0.97907	0.85544	0.89436	0.68578	0.7449	0.72274	0.868	0.97746	0.82953	0.77514	0.64513	0.8805	0.82023	0.82829	0.97665	0.97489	0.94358	0.92041	0.70533	0.93835	0.8813	0.75005	0.68601	0.93023	0.9579	0.9571	0.82265	0.8805	0.95951	0.72489	0.87889	0.72489	0.95629	0.87808	0.96003	0.71411	0.82023	0.86336	0.87983	0.92121	0.84139	0.69222	0.78032	0.66462	
D00234	0.55045	0.97646	0.90435	0.87617	0.84295	0.81073	0.88729	0.76975	1.0	0.68943	0.97591	0.81183	0.75536	0.68724	0.87831	0.93931	0.76756	0.87447	0.83404	0.56484	0.94045	0.91074	0.86008	0.76537	0.89997	0.96645	0.80247	0.70108	0.66229	0.90325	0.77358	0.78305	0.79251	0.72932	0.57869	0.74535	0.69889	0.95304	0.86039	0.8069	0.75646	0.75427	0.6612	0.70327	0.757	0.59253	0.69889	0.59362	0.75646	0.70327	0.77867	0.90073	0.65791	0.68833	0.84788	0.72767	0.67394	0.86723	0.63406	0.55264	
D00252	0.74303	0.69166	0.74268	0.62971	0.78292	0.82177	0.63989	0.86345	0.69166	1.0	0.69221	0.82399	0.88013	0.97653	0.76119	0.71525	0.86506	0.76771	0.79919	0.76383	0.66867	0.64961	0.77747	0.86667	0.73957	0.69939	0.58935	0.95365	0.93296	0.74642	0.86748	0.84772	0.82906	0.91496	0.78464	0.90556	0.95082	0.67656	0.62291	0.82103	0.88345	0.88345	0.93296	0.95271	0.88428	0.80936	0.95365	0.8211	0.88013	0.95837	0.85163	0.64515	0.92807	0.97751	0.78566	0.93262	0.96159	0.62443	0.89232	0.73911	
D00274	0.551	0.97646	0.90106	0.87617	0.84843	0.80909	0.88777	0.76866	0.97591	0.68998	1.0	0.80964	0.75865	0.69052	0.87557	0.93931	0.77249	0.8794	0.83459	0.56813	0.94148	0.90976	0.86446	0.76811	0.89997	0.9648	0.80088	0.70218	0.66339	0.89997	0.77085	0.78195	0.79415	0.73205	0.58088	0.74425	0.69889	0.95199	0.86039	0.8069	0.75646	0.757	0.66503	0.70765	0.757	0.59527	0.70327	0.59527	0.75427	0.70218	0.77976	0.90073	0.66065	0.68998	0.84733	0.73205	0.67668	0.8686	0.63406	0.55483	
