	hsa10008	hsa10060	hsa10369	hsa1080	hsa11254	hsa11280	hsa1134	hsa1135	hsa1136	hsa1137	hsa1138	hsa1139	hsa1140	hsa1141	hsa1144	hsa1145	hsa116443	hsa116444	hsa1181	hsa169522	hsa170572	hsa200909	hsa22953	hsa23630	hsa23704	hsa2554	hsa2555	hsa2556	hsa2557	hsa2558	
hsa10008	1	0.0152484995782765	0.0341613649495519	0.0199357115400187	0.0282272114331012	0.018512918734713	0.0297438642617217	0.0234082809699653	0.0243699413305272	0.0279278709902228	0.0307723475011472	0.02980294914379	0.0301861705407102	0.0287891784448103	0.0299579496357807	0.0346681921006794	0.0185065075257177	0.0217911128178306	0.0183865669326981	0.0233286986325573	0.0292439119132445	0.0386552653819838	0.033216122087943	0.189158461721633	0.135414580579559	0.0263759368742708	0.0301860841110446	0.032969755038927	0.0254352128957358	0.0235878827505949	
hsa10060	0.0152484995782765	1	0.0162704830250836	0.152868963875768	0.0107992157354348	0.00618437423658187	0.0127871897005643	0.00988341137783546	0.00874602592016484	0.00863493896913762	0.010326756396881	0.0106274674607808	0.00837209396617626	0.0109029593665768	0.0108523065520166	0.0112831154476287	0.0072277571442552	0.00673753217054868	0.00724560700198862	0.0100139737394983	0.0110586938742004	0.0102933400640334	0.0101524925784014	0.0146774011615361	0.0138619785760145	0.0110240698815593	0.0115150730164121	0.0115624908042786	0.0102649041794034	0.0110186326087839	
hsa10369	0.0341613649495519	0.0162704830250836	1	0.0144592905112793	0.0239313290560811	0.0111316390110029	0.0208630052089477	0.0241220749350433	0.018366267337602	0.0168864683487689	0.0198467935643638	0.016591512774968	0.017551737276922	0.020479122630518	0.0166778026461677	0.0182113084453815	0.0130391890901003	0.0144676588927381	0.0152709039225354	0.0272693284558594	0.0174345569360585	0.0204980194745478	0.0201353525664758	0.0249510560962444	0.0283217499899846	0.0213299638748039	0.0219721762329233	0.0187623737255215	0.0256924663527169	0.0232934660973518	
hsa1080	0.0199357115400187	0.152868963875768	0.0144592905112793	1	0.0121501392732638	0.00988523866004425	0.0129273421503521	0.011823555823569	0.00984743346538928	0.0111843656568165	0.0135102100933396	0.00968660756856423	0.0105119602167629	0.0139749045631642	0.0113018588710771	0.00996777316660497	0.00799956476908396	0.00775711829341082	0.00809302769483291	0.0117833586723933	0.011897300176297	0.0140730911863097	0.00809697233476132	0.0133779967525531	0.019467150446555	0.00945097779503025	0.00955852250328464	0.0123951275365567	0.00848843561104474	0.012039422862779	
hsa11254	0.0282272114331012	0.0107992157354348	0.0239313290560811	0.0121501392732638	1	0.0108572219587345	0.0206840284834303	0.0121970969978766	0.0155487904240378	0.0123618352705204	0.0161432868826908	0.0160595939144461	0.0183316323350372	0.0128717975186632	0.0187055169393098	0.0173126833664103	0.011788992473436	0.0116103183580564	0.0127088097850257	0.0153805929341221	0.0153414639416134	0.02523314845445	0.0142054076374236	0.0216867315080088	0.0214027720014507	0.0131086550546961	0.0143626396971147	0.0161488676538884	0.013009821243433	0.014194038761943	
hsa11280	0.018512918734713	0.00618437423658187	0.0111316390110029	0.00988523866004425	0.0108572219587345	1	0.0113866967442318	0.00965978589095458	0.00989949493661166	0.00818970640158262	0.0115831369700741	0.0103560929929926	0.0100195886573624	0.0104585415626622	0.00885622902730102	0.00986141575762773	0.00704319494676434	0.00703997727482341	0.00995859195463938	0.027075782868094	0.0134552237572482	0.0129947342105408	0.0115421211353847	0.0152418867775677	0.0209851891598435	0.00877647048271885	0.0108860771466273	0.00931037905306382	0.0101641231238569	0.0107582870727984	
hsa1134	0.0297438642617217	0.0127871897005643	0.0208630052089477	0.0129273421503521	0.0206840284834303	0.0113866967442318	1	0.422038560345016	0.460225387617206	0.369166465507063	0.419992084342126	0.320171546069095	0.334519372090361	0.393199851412758	0.309529377259275	0.280328656728743	0.0135312579442056	0.0113674664205457	0.0150254862558377	0.0148938999338962	0.145068928984132	0.0796905547367347	0.0184219031545903	0.0289997694279894	0.0262464422974987	0.0901792523860238	0.0928637018778	0.0820141871531635	0.0838164432534387	0.0862016205413925	
hsa1135	0.0234082809699653	0.00988341137783546	0.0241220749350433	0.011823555823569	0.0121970969978766	0.00965978589095458	0.422038560345016	1	0.524240883312341	0.528466917437737	0.443228700567185	0.345185852594942	0.340834193955939	0.447837311215062	0.313493071356425	0.295284205404371	0.0127567040951244	0.0129470435423962	0.0148161891918454	0.0177088617154424	0.162167358677633	0.070228955999946	0.0174730059462748	0.0297714520459601	0.0250056456618342	0.0776805985861162	0.0706777547363022	0.0694873968868893	0.0736374398593182	0.0710471875193298	
hsa1136	0.0243699413305272	0.00874602592016484	0.018366267337602	0.00984743346538928	0.0155487904240378	0.00989949493661166	0.460225387617206	0.524240883312341	1	0.442340556650904	0.426060576828113	0.35557785353119	0.346865830169871	0.439744742545595	0.339262827503865	0.312213762857871	0.0120914525529405	0.0106197667635772	0.0154248687381421	0.0144654659743727	0.168203072893108	0.069557203599066	0.0162418151723524	0.0236685460359121	0.0197850260792103	0.070567738629755	0.0798973374210342	0.0729474552406945	0.0746602356484052	0.0705329333311496	
hsa1137	0.0279278709902228	0.00863493896913762	0.0168864683487689	0.0111843656568165	0.0123618352705204	0.00818970640158262	0.369166465507063	0.528466917437737	0.442340556650904	1	0.382076855587144	0.287846205982943	0.277465578457642	0.375197747273179	0.261392380782718	0.250631863439903	0.0138331015452741	0.0135305898980849	0.0179703945027385	0.0142817340114275	0.146649079808951	0.0624922713172772	0.0235300172063489	0.0219037663786063	0.0248365130741556	0.0769565867692189	0.0764374483671376	0.0754025519678594	0.0717647244627003	0.0725075261230942	
