data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00040	1.0	0.80038	0.54154	0.63766	0.63268	0.46435	0.56222	0.60782	0.87416	0.79609	0.59767	0.64356	0.72117	0.56114	0.6238	0.37825	0.67272	0.53128	0.43637	0.64215	0.46435	0.62804	0.7247	0.35947	0.54207	0.41163	0.36432	0.58418	0.39298	0.39311	0.34728	0.59976	0.36177	0.35459	0.60401	0.61049	0.57643	0.61049	0.53559	0.36511	0.35879	0.39122	0.62041	0.39149	0.58622	0.77606	0.65488	0.70501	0.33134	0.65672	0.36511	0.59186	0.53573	0.42306	
D00066	0.82273	1.0	0.63773	0.80057	0.76184	0.45864	0.66334	0.61756	0.92104	0.76003	0.75496	0.63108	0.60721	0.53559	0.70057	0.42099	0.6562	0.57847	0.48711	0.7974	0.45864	0.65157	0.83004	0.39454	0.63575	0.41529	0.36608	0.71725	0.38582	0.41109	0.30414	0.66195	0.38803	0.36659	0.61087	0.77411	0.65195	0.77411	0.69817	0.38898	0.42802	0.38364	0.62893	0.4128	0.56877	0.97126	0.72546	0.71272	0.39377	0.81744	0.37344	0.68914	0.65112	0.45079	
D00067	0.57543	0.65988	1.0	0.79254	0.73083	0.39803	0.9276	0.57285	0.64244	0.5903	0.77521	0.57119	0.57668	0.50363	0.58065	0.41761	0.55209	0.79393	0.41349	0.64876	0.39803	0.54919	0.67508	0.40412	0.89916	0.39887	0.44734	0.59011	0.40895	0.40222	0.40916	0.56728	0.43934	0.43994	0.5629	0.76328	0.61055	0.76328	0.72599	0.40222	0.42139	0.39864	0.55943	0.39482	0.55445	0.66752	0.63634	0.55166	0.42991	0.61217	0.45419	0.72678	0.79963	0.43934	
D00075	0.65664	0.80426	0.77316	1.0	0.84307	0.46566	0.84607	0.61094	0.73699	0.65403	0.91734	0.60833	0.61974	0.54894	0.68828	0.39327	0.63453	0.65088	0.40942	0.78519	0.46566	0.59118	0.785	0.40169	0.78091	0.37076	0.37181	0.6483	0.39588	0.34334	0.3103	0.66319	0.38167	0.35916	0.62813	0.90322	0.67493	0.90322	0.85514	0.35966	0.39697	0.39359	0.57454	0.38077	0.58696	0.80534	0.6194	0.64262	0.35128	0.70189	0.35318	0.81825	0.82217	0.46075	
D00088	0.63865	0.74456	0.69312	0.82107	1.0	0.49451	0.69627	0.63076	0.67306	0.62649	0.85085	0.59955	0.61306	0.56126	0.75371	0.39053	0.58852	0.58915	0.45977	0.72421	0.49451	0.58149	0.69672	0.38939	0.7447	0.38839	0.39179	0.66789	0.422	0.39008	0.33108	0.67265	0.37842	0.38154	0.62535	0.83733	0.7055	0.83733	0.79693	0.414	0.34051	0.42285	0.59715	0.39108	0.59747	0.73758	0.5703	0.65017	0.30359	0.74174	0.37923	0.80799	0.65286	0.43332	
D00094	0.51056	0.48817	0.405	0.49085	0.53694	1.0	0.42038	0.56125	0.47499	0.48439	0.49551	0.5663	0.55502	0.51673	0.52443	0.43676	0.56387	0.44896	0.55178	0.50236	0.98318	0.53099	0.47243	0.42641	0.45419	0.43339	0.43901	0.50305	0.42353	0.46958	0.39112	0.52303	0.40086	0.46051	0.58253	0.49354	0.52343	0.49354	0.48732	0.44183	0.48651	0.43898	0.52321	0.45044	0.51402	0.4827	0.50775	0.52659	0.43368	0.52486	0.40021	0.50262	0.47595	0.53777	
D00105	0.59015	0.6781	0.91899	0.8577	0.72769	0.40531	1.0	0.58757	0.65958	0.6035	0.8055	0.54601	0.54748	0.52102	0.59341	0.4053	0.59161	0.73052	0.37977	0.67324	0.40531	0.55584	0.69331	0.39281	0.93259	0.42073	0.44748	0.58969	0.41193	0.37722	0.39893	0.57865	0.42543	0.44063	0.58572	0.79311	0.61486	0.79311	0.75971	0.38074	0.4074	0.39497	0.56332	0.39164	0.54307	0.68492	0.58713	0.56314	0.40764	0.60947	0.40849	0.75661	0.85549	0.42543	
D00129	0.60782	0.5952	0.53112	0.58411	0.6248	0.51504	0.5518	1.0	0.58321	0.67807	0.60222	0.78541	0.82255	0.57234	0.57108	0.39853	0.78899	0.47978	0.50219	0.62884	0.51504	0.56971	0.6129	0.39745	0.58005	0.42691	0.39731	0.50292	0.42339	0.40824	0.35983	0.56857	0.36177	0.39514	0.8992	0.5894	0.58837	0.5894	0.55587	0.41081	0.40176	0.42678	0.56739	0.40162	0.56222	0.59615	0.57925	0.6061	0.34148	0.58301	0.36769	0.61981	0.51786	0.43274	
D00143	0.89056	0.9141	0.61467	0.72658	0.68406	0.44028	0.63875	0.59961	1.0	0.79588	0.68002	0.62567	0.6153	0.55674	0.65182	0.39907	0.65104	0.558	0.46424	0.71633	0.44028	0.66284	0.7955	0.3772	0.61281	0.3937	0.35924	0.64051	0.3778	0.39276	0.30099	0.61852	0.36807	0.36271	0.60813	0.69495	0.62057	0.69495	0.62143	0.36016	0.41148	0.37875	0.64578	0.40317	0.54014	0.88579	0.76164	0.66684	0.38216	0.75052	0.34855	0.63313	0.59974	0.43889	
D00163	0.78406	0.73865	0.54086	0.61794	0.60912	0.43093	0.5594	0.66604	0.77984	1.0	0.58209	0.56754	0.57721	0.59858	0.62133	0.38332	0.5793	0.54244	0.4399	0.66252	0.43093	0.58431	0.75947	0.37557	0.54837	0.39968	0.37083	0.57199	0.41239	0.39664	0.34184	0.58961	0.35267	0.36889	0.58574	0.5706	0.57503	0.5706	0.55612	0.38755	0.36626	0.40403	0.60141	0.40427	0.54902	0.72363	0.68969	0.67091	0.38209	0.617	0.37385	0.58849	0.55177	0.4049	
